HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOKIND,MANKIND PHARMACEUTICALS LTD.,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,23.67,1.58,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMFIRST,SINSAN PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,24.00,1.60,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMPINE,SUNIJ PHARMA PVT LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,16.03,1.60,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,ANGICAM,BLUE CROSS LABORATORIES LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,25.31,1.69,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLIN,LINCOLN PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,17.63,1.76,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,STAMLO M,DR. REDDYS LABORATORIES LTD,AMLODIPINE TABLET 5 MG,28,TABLET,Scheduled,2.54,52.30,1.87,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMOPIN,FINECURE PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,20.00,2.00,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMDAC(CMR),CMR LIFE SCIENCES,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,20.62,2.06,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMCARD,SYSTOPIC LABORATORIES LTD-MEM,AMLODIPINE TABLET 5 MG,14,TABLET,Scheduled,2.54,29.92,2.14,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMCARD,SYSTOPIC LABORATORIES LTD-MEM,AMLODIPINE TABLET 5 MG,7,TABLET,Scheduled,2.54,14.96,2.14,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,A 1,PATSON LABORATORIES PVT. LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,22.00,2.20,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLO,MED MANOR ORGANICS PVT LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,22.00,2.20,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMVIO,SALUD CARE (I) PVT LTD,AMLODIPINE TABLET 5 MG,14,TABLET,Scheduled,2.54,31.88,2.28,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOSURE,CADELL HEALTH CARE PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,23.00,2.30,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOVEL,INDIABULLS PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,23.00,2.30,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOCHEM,MEDICHEM PHARMCEUTICALS LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,23.25,2.33,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOBIG,MANKIND PRIME LABS PVT.LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,35.12,2.34,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMO,TAS MED (INDIA) PRIVATE LTD.,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,35.23,2.35,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOSUN,SUN PHARMA LABORATORIES LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,24.00,2.40,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,CAMLODIP,LA RENON HEALTHCARE PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,24.37,2.44,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLIBON,NOVARTIS INDIA LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,24.90,2.49,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLO CB,SHRRISHTI HEALTHCARE,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,24.90,2.49,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLEOD,KNOLL HEALTHCARE PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.00,2.60,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,ALDO,SHINE PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,39.33,2.62,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMDOT,THREE DOTS LIFESCIENCE,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.25,2.63,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOHEAL,HEALING PHARMA INDIA PVT.LTD,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,78.75,2.63,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,BAMLO,REGENIX DRUGS LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.25,2.63,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,DEFIDIN,LUPIN LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.25,2.63,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,ADBLOCK,OLCARE LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.40,2.64,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOWAVE,SMART LABORATORIES PVT LTD,AMLODIPINE TABLET 5 MG,14,TABLET,Scheduled,2.54,37.00,2.64,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMSORT,CONSERN PHARMA (P) LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.53,2.65,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOHEART,LIVIDUS PHARMA PVT LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.63,2.66,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOVIN,EAST WEST PHARMA,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.63,2.66,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOWALK,ARISTO PHARMACEUTICALS PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.63,2.66,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,LUPIDIP,LUPIN LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.60,2.66,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,PRIMODIL,MEDLEY PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.58,2.66,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,ADP,CAPLET INDIA PRIVATE LIMITED,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.01,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AGINAL,ALEMBIC LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMDEPIN,CADILA PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLIP,CIPLA LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.66,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLO,MED MANOR ORGANICS PVT LTD.,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLODAC,ZYDUS HEALTHCARE LTD.,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.01,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOGARD,VIATRIS,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.00,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOGOLD,GOLD LINE,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.66,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLONG,MICRO LABS LTD,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.00,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOPIL,PSYCHOTROPICS INDIA LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.67,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOPIN,USV PVT LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.67,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOPRES,CIPLA LTD.,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.00,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOSAFE,ARISTO PHARMACEUTICALS PVT.LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOVAS,MACLEODS PHARMACEUTICALS PVT.LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOZ,SHREYA LIFE SCIENCES PVT. LTD,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.01,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMTAS,INTAS PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.01,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,BIODIPIN,ZYDUS HEALTHCARE LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.66,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,CALCHEK,IPCA LABORATORIES PVT LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.67,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,CORVADIL,TORRENT PHARMACEUTICALS LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.66,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,LAMA,STADMED PVT. LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.67,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,PRELO,MARSHA PHARMA,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.67,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,STAMLO,DR. REDDYS LABORATORIES LTD,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.00,2.67,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,ALDO,SHINE PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,27.30,2.73,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AVACARD,INDSWIFT LABORATORIES LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,27.40,2.74,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOSAFE,ARISTO PHARMACEUTICALS PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,28.16,2.82,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMDEPIN,CADILA PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,14,TABLET,Scheduled,2.54,40.00,2.86,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOSTAT,ZYDUS HEALTHCARE LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,28.56,2.86,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMCHEK,INDOCO REMEDIES LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,29.12,2.91,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOD,ACRON PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,32.00,3.20,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLONG,MICRO LABS LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,48.55,3.24,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMPILIFE,INTRA LIFE PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,35.23,3.52,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,MALODIP,SIGNOVA PHARMA (P) LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,39.38,3.94,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOPRIDE,KAISER PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,46.38,4.64,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMLOWIN,INTRA LABS,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,60.00,6.00,Dec-2025
1521018809@113488@101110979@3854@101006@200855,OTHER,AMOFRESH,LABORATE PHARMACEUTICAL LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,130.00,8.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,MAIN,ADBLOCK 5 MG TABLET 10,OLCARE LTD,AMLODIPINE TABLET 5 MG,10 TABLET,TABLET,Scheduled,2.54,26.40,2.64,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,CUPINE,CUBIT HEALTHCARE,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,0.13,0.01,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLODIPINE BESYLATE (LUPIN),LUPIN LTD,AMLODIPINE TABLET 5 MG,90,TABLET,Scheduled,2.54,6.87,0.08,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLODEPIN,ZYDUS HEALTHCARE LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,4.86,0.49,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AVACARD (RANBAXY),RANBAXY LABORATORIES LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,6.12,0.61,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,UDP,UNISON PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,7.47,0.75,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,ANGIGUARD,INDSWIFT LABORATORIES LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,8.00,0.80,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,UDP,UNISON PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,26.61,0.89,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOPEN,MOREPEN LABORATORIES LIMITED,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,9.37,0.94,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMODEP,FDC LTD.,AMLODIPINE TABLET 5 MG,14,TABLET,Scheduled,2.54,17.20,1.23,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMODEP,FDC LTD.,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,18.39,1.23,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOKIND,MANKIND PHARMACEUTICALS LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,13.27,1.33,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOTRAC,INTRA LABS,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,14.95,1.50,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOKIND,MANKIND PHARMACEUTICALS LTD.,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,23.67,1.58,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMFIRST,SINSAN PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,24.00,1.60,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMPINE,SUNIJ PHARMA PVT LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,16.03,1.60,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,ANGICAM,BLUE CROSS LABORATORIES LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,25.31,1.69,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLIN,LINCOLN PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,17.63,1.76,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,STAMLO M,DR. REDDYS LABORATORIES LTD,AMLODIPINE TABLET 5 MG,28,TABLET,Scheduled,2.54,52.30,1.87,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMOPIN,FINECURE PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,20.00,2.00,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMDAC(CMR),CMR LIFE SCIENCES,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,20.62,2.06,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMCARD,SYSTOPIC LABORATORIES LTD-MEM,AMLODIPINE TABLET 5 MG,7,TABLET,Scheduled,2.54,14.96,2.14,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMCARD,SYSTOPIC LABORATORIES LTD-MEM,AMLODIPINE TABLET 5 MG,14,TABLET,Scheduled,2.54,29.92,2.14,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,A 1,PATSON LABORATORIES PVT. LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,22.00,2.20,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLO,MED MANOR ORGANICS PVT LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,22.00,2.20,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMVIO,SALUD CARE (I) PVT LTD,AMLODIPINE TABLET 5 MG,14,TABLET,Scheduled,2.54,31.88,2.28,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOSURE,CADELL HEALTH CARE PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,23.00,2.30,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOVEL,INDIABULLS PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,23.00,2.30,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOCHEM,MEDICHEM PHARMCEUTICALS LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,23.25,2.33,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOBIG,MANKIND PRIME LABS PVT.LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,35.12,2.34,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMO,TAS MED (INDIA) PRIVATE LTD.,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,35.23,2.35,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOSUN,SUN PHARMA LABORATORIES LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,24.00,2.40,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,CAMLODIP,LA RENON HEALTHCARE PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,24.37,2.44,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLIBON,NOVARTIS INDIA LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,24.90,2.49,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLO CB,SHRRISHTI HEALTHCARE,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,24.90,2.49,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLEOD,KNOLL HEALTHCARE PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.00,2.60,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,ALDO,SHINE PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,39.33,2.62,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMDOT,THREE DOTS LIFESCIENCE,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.25,2.63,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOHEAL,HEALING PHARMA INDIA PVT.LTD,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,78.75,2.63,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,BAMLO,REGENIX DRUGS LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.25,2.63,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,DEFIDIN,LUPIN LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.25,2.63,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOWAVE,SMART LABORATORIES PVT LTD,AMLODIPINE TABLET 5 MG,14,TABLET,Scheduled,2.54,37.00,2.64,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMSORT,CONSERN PHARMA (P) LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.53,2.65,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOHEART,LIVIDUS PHARMA PVT LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.63,2.66,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOVIN,EAST WEST PHARMA,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.63,2.66,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOWALK,ARISTO PHARMACEUTICALS PVT.LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.63,2.66,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,LUPIDIP,LUPIN LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.60,2.66,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,PRIMODIL,MEDLEY PHARMACEUTICALS,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.58,2.66,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,ADP,CAPLET INDIA PRIVATE LIMITED,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.01,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AGINAL,ALEMBIC LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMDEPIN,CADILA PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLIP,CIPLA LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.66,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLO,MED MANOR ORGANICS PVT LTD.,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLODAC,ZYDUS HEALTHCARE LTD.,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.01,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOGARD,VIATRIS,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.00,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOGOLD,GOLD LINE,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.66,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLONG,MICRO LABS LTD,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.00,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOPIL,PSYCHOTROPICS INDIA LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.67,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOPIN,USV PVT LTD,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.67,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOPRES,CIPLA LTD.,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.00,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOSAFE,ARISTO PHARMACEUTICALS PVT.LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOVAS,MACLEODS PHARMACEUTICALS PVT.LTD,AMLODIPINE TABLET 5 MG,15,TABLET,Scheduled,2.54,40.00,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMLOZ,SHREYA LIFE SCIENCES PVT. LTD,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.01,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,AMTAS,INTAS PHARMACEUTICALS LTD,AMLODIPINE TABLET 5 MG,30,TABLET,Scheduled,2.54,80.01,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,BIODIPIN,ZYDUS HEALTHCARE LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.66,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,CALCHEK,IPCA LABORATORIES PVT LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.67,2.67,Dec-2025
1521141094@48106@101228146@3854@101006@200855,OTHER,CORVADIL,TORRENT PHARMACEUTICALS LTD.,AMLODIPINE TABLET 5 MG,10,TABLET,Scheduled,2.54,26.66,2.67,Dec-2025
