HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521036546@184195@101241242@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521036546@184195@101241242@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521036856@295929@101140048@3791@101006@201882,MAIN,INNOMUNE 50 MG TABLET 10,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521036856@295929@101140048@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521145287@244194@101235407@3791@101006@201882,MAIN,NEOPRINE 50 MG TABLET 10,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521145287@244194@101235407@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521077315@175697@101177732@3791@101006@201882,MAIN,THIOPRESS 50 MG TABLET 10,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521077315@175697@101177732@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521081316@238744@101181953@3791@101006@201882,MAIN,VANTHIORIN 50 MG TABLET 10,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,ZYMURINE,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521081316@238744@101181953@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
1521032882@233077@101247155@1846@101006@201882,MAIN,VAPRIN 100 MG TABLET 10,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,97.97,9.80,Dec-2025
1521086663@77824@101247289@3791@101006@201882,MAIN,ZYMURINE 50 MG TABLET 10,ZYDUS - BIOLOGICS,AZATHIOPRINE TABLET 50 MG,10 TABLET,TABLET,Scheduled,11.46,115.70,11.57,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZATHIOL,KNOLL HEALTHCARE PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,87.46,8.75,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,THIOPRESS,UNITED BIOTECH (P) LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,93.35,9.34,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,VANTHIORIN,AVANCER LAB,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,94.69,9.47,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZANOL,DERMAKARE PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.00,9.60,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,IMUZA,MANKIND PHARMACEUTICALS LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,96.50,9.65,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,BIOAZAPIN,BIOS LAB PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,99.00,9.90,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,106.10,10.61,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,IMOPRINE,CANIXA LIFE SCIENCES PVT,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,114.00,11.40,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,NEOPRINE,EUMEDICA PHARMACEUTICALS,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,115.00,11.50,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZOTAS,TAS MED (INDIA) PRIVATE LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,116.97,11.70,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZASIS,RIVAN PHARMACEUTICALS PVT.LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.00,11.80,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.13,11.81,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZAFLY,BRINTON PHARMACEUTICALS .LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.20,11.82,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,INNOMUNE,CIPLA LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,118.23,11.82,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZAPRIN,GALCARE PHARMACEUTICALS P. LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,119.06,11.91,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,ARETHA,OAKNET HEALTHCARE,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.05,12.01,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZARID,EAST WEST PHARMA,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.16,12.02,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZORAN,RPG LIFE SCIENCES LTD.,AZATHIOPRINE TABLET 50 MG,20,TABLET,Scheduled,11.46,240.31,12.02,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,ATZ,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,15,TABLET,Scheduled,11.46,180.40,12.03,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZAPURE,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZOFIT,INTAS PHARMACEUTICALS LTD,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.27,12.03,Dec-2025
1521086663@77824@101247289@3791@101006@201882,OTHER,AZR,IPCA LABORATORIES PVT LTD.,AZATHIOPRINE TABLET 50 MG,10,TABLET,Scheduled,11.46,120.33,12.03,Dec-2025
